feature,shap_value,absolute_shap
num__temperature_C,0.30667483077350044,0.30667483077350044
num__scheduled_trip_duration_min,0.14639740001892704,0.14639740001892704
num__arrival_minute,0.12215898810074761,0.12215898810074761
num__departure_hour_cos,0.11465765600336864,0.11465765600336864
num__departure_hour,0.10441434531131699,0.10441434531131699
num__departure_minutes,0.08861709971775933,0.08861709971775933
num__log_event_attendance,-0.07845378832739024,0.07845378832739024
num__arrival_hour,0.07624588270833055,0.07624588270833055
num__event_attendance_est,-0.06418916346859312,0.06418916346859312
num__humidity_percent,-0.0601222161513555,0.0601222161513555
num__departure_hour_sin,0.053748504540451415,0.053748504540451415
num__arrival_minutes,0.05030103891777431,0.05030103891777431
cat__destination_station_Station_18,-0.04775527717923316,0.04775527717923316
cat__event_type_Unknown / Missing Event,0.04731986761071887,0.04731986761071887
num__day_of_month,-0.043318273488985114,0.043318273488985114
cat__season_Autumn,-0.04167183725528511,0.04167183725528511
num__traffic_congestion_index,0.03951424045633292,0.03951424045633292
num__weekday_num,0.03927422516525301,0.03927422516525301
num__departure_minute,-0.03786921865182154,0.03786921865182154
cat__origin_station_Station_19,-0.03173587293386154,0.03173587293386154
cat__season_Summer,-0.03164999462440909,0.03164999462440909
cat__day_of_week_Friday,-0.03135511422472835,0.03135511422472835
cat__weather_condition_Clear,0.027128955158498513,0.027128955158498513
cat__day_of_week_Tuesday,0.026776513907640485,0.026776513907640485
num__precipitation_mm,0.025925981087395137,0.025925981087395137
cat__day_of_week_Thursday,0.025757973765202984,0.025757973765202984
cat__transport_type_Tram,0.01982015783735186,0.01982015783735186
num__wind_speed_kmh,-0.018384568060466414,0.018384568060466414
cat__transport_type_Metro,-0.01724691426728875,0.01724691426728875
num__holiday,-0.014976454425385598,0.014976454425385598
cat__day_of_week_Sunday,0.014736461691492828,0.014736461691492828
cat__destination_station_Station_19,0.013948726452139005,0.013948726452139005
cat__transport_type_Bus,-0.013333789689258219,0.013333789689258219
cat__season_Spring,-0.01294651608681263,0.01294651608681263
cat__route_id_Route_13,0.010764351386234198,0.010764351386234198
cat__day_of_week_Wednesday,0.010672184299842598,0.010672184299842598
cat__weather_condition_Fog,0.010615108669262624,0.010615108669262624
cat__season_Winter,0.010474919053848054,0.010474919053848054
cat__origin_station_Station_40,-0.010427926337776748,0.010427926337776748
cat__origin_station_Station_22,-0.010423125486261484,0.010423125486261484
cat__day_of_week_Monday,-0.009471928009827768,0.009471928009827768
cat__destination_station_Station_26,0.00882482157328534,0.00882482157328534
cat__origin_station_Station_29,0.008462776658116535,0.008462776658116535
cat__destination_station_Station_15,-0.007943479112175432,0.007943479112175432
cat__weather_condition_Storm,0.007831776072992324,0.007831776072992324
cat__destination_station_Station_30,0.007691262614462822,0.007691262614462822
cat__origin_station_Station_26,-0.0076341274724002,0.0076341274724002
cat__destination_station_Station_40,0.006900534507161654,0.006900534507161654
cat__destination_station_Station_7,-0.0068246200158411565,0.0068246200158411565
cat__route_id_Route_5,-0.0068216526860659125,0.0068216526860659125
cat__destination_station_Station_22,0.00670782364593195,0.00670782364593195
cat__day_of_week_Saturday,-0.006278833523776086,0.006278833523776086
cat__origin_station_Station_41,0.00618651200749323,0.00618651200749323
cat__origin_station_Station_34,0.005972151526365454,0.005972151526365454
cat__event_type_Sports,0.005966708795377567,0.005966708795377567
cat__origin_station_Station_14,-0.005917014597021422,0.005917014597021422
cat__destination_station_Station_25,-0.005910727018059603,0.005910727018059603
num__has_event,-0.00583185051825102,0.00583185051825102
cat__route_id_Route_12,-0.005804963743202332,0.005804963743202332
cat__route_id_Route_3,0.005698315535496377,0.005698315535496377
cat__destination_station_Station_13,-0.005547440397624445,0.005547440397624445
cat__origin_station_Station_2,0.0053265614517192285,0.0053265614517192285
cat__origin_station_Station_30,0.005038017464177185,0.005038017464177185
cat__destination_station_Station_16,-0.004890027991872923,0.004890027991872923
cat__weather_condition_Rain,-0.004789725188720689,0.004789725188720689
cat__origin_station_Station_5,0.004664091072624996,0.004664091072624996
cat__destination_station_Station_17,-0.004663890689350485,0.004663890689350485
cat__origin_station_Station_48,-0.004449504684974284,0.004449504684974284
cat__weather_condition_Cloudy,0.004271345299558621,0.004271345299558621
cat__destination_station_Station_5,0.004025715206554266,0.004025715206554266
num__is_weekend,0.0040075874372588185,0.0040075874372588185
cat__route_id_Route_8,0.0040018846176151255,0.0040018846176151255
cat__origin_station_Station_43,0.003999395239430122,0.003999395239430122
cat__route_id_Route_10,0.003921791291031097,0.003921791291031097
cat__origin_station_Station_16,-0.00390671861188489,0.00390671861188489
cat__destination_station_Station_9,-0.0038390621125996933,0.0038390621125996933
cat__route_id_Route_9,0.00368194148398575,0.00368194148398575
cat__destination_station_Station_20,-0.0034588627505604454,0.0034588627505604454
cat__origin_station_Station_31,0.0034443950966214173,0.0034443950966214173
cat__route_id_Route_15,-0.0034156743012545387,0.0034156743012545387
cat__transport_type_Train,-0.003410749751365033,0.003410749751365033
cat__destination_station_Station_10,0.003280879475105238,0.003280879475105238
cat__route_id_Route_11,-0.0032131334346114896,0.0032131334346114896
cat__event_type_Concert,0.0031656049938072234,0.0031656049938072234
cat__route_id_Route_16,-0.0029097966220531534,0.0029097966220531534
cat__origin_station_Station_25,0.0028212053932543655,0.0028212053932543655
cat__destination_station_Station_49,-0.0027430659734738487,0.0027430659734738487
cat__destination_station_Station_46,0.0027376616951033154,0.0027376616951033154
cat__origin_station_Station_17,-0.0025029889350384614,0.0025029889350384614
cat__destination_station_Station_14,-0.002473338277576823,0.002473338277576823
cat__destination_station_Station_45,0.0022961991652878286,0.0022961991652878286
cat__origin_station_Station_4,-0.002285868369319057,0.002285868369319057
cat__destination_station_Station_50,0.0022473320420563687,0.0022473320420563687
cat__origin_station_Station_8,0.002199110277243635,0.002199110277243635
cat__destination_station_Station_27,-0.0021929568004538987,0.0021929568004538987
cat__route_id_Route_1,0.002140218968582528,0.002140218968582528
cat__origin_station_Station_49,0.0021349342924198043,0.0021349342924198043
cat__origin_station_Station_44,0.0020450818222289137,0.0020450818222289137
cat__origin_station_Station_47,-0.001949918832729248,0.001949918832729248
cat__route_id_Route_19,0.0018843312742993926,0.0018843312742993926
cat__destination_station_Station_44,0.0018317069093770253,0.0018317069093770253
cat__origin_station_Station_36,-0.0017994000028203265,0.0017994000028203265
cat__route_id_Route_7,0.0017833639513179563,0.0017833639513179563
cat__destination_station_Station_32,-0.0017304586602348215,0.0017304586602348215
cat__route_id_Route_18,-0.0017131237021675762,0.0017131237021675762
cat__destination_station_Station_34,-0.001712121823466031,0.001712121823466031
cat__origin_station_Station_37,0.001695584539122381,0.001695584539122381
cat__route_id_Route_4,0.0016531066069479545,0.0016531066069479545
cat__destination_station_Station_29,-0.0016414355536517656,0.0016414355536517656
cat__event_type_Festival,-0.0016268401407048747,0.0016268401407048747
cat__origin_station_Station_24,-0.001596120529253945,0.001596120529253945
cat__origin_station_Station_45,-0.0015889963604247557,0.0015889963604247557
cat__destination_station_Station_43,0.0015323277527218588,0.0015323277527218588
cat__destination_station_Station_24,-0.0015180483987092615,0.0015180483987092615
cat__destination_station_Station_23,0.0014828879389478743,0.0014828879389478743
cat__origin_station_Station_10,-0.001456093359754314,0.001456093359754314
cat__destination_station_Station_39,0.0014551616197249905,0.0014551616197249905
cat__event_type_Protest,0.0014456441313482312,0.0014456441313482312
cat__destination_station_Station_11,-0.001411899873026166,0.001411899873026166
cat__origin_station_Station_50,0.0014115505432474016,0.0014115505432474016
cat__destination_station_Station_31,-0.0013924030237070367,0.0013924030237070367
cat__destination_station_Station_12,0.0013167815399278084,0.0013167815399278084
cat__destination_station_Station_21,-0.0012861338918944286,0.0012861338918944286
cat__origin_station_Station_1,0.0012491359315312633,0.0012491359315312633
cat__origin_station_Station_32,-0.0012116823320480956,0.0012116823320480956
cat__destination_station_Station_1,0.0010760166721760153,0.0010760166721760153
cat__destination_station_Station_36,0.0010701835685060373,0.0010701835685060373
cat__origin_station_Station_35,-0.00105600302144335,0.00105600302144335
cat__destination_station_Station_41,0.0010504377461495685,0.0010504377461495685
num__peak_hour,-0.0010326314398801236,0.0010326314398801236
cat__origin_station_Station_9,0.001007935697698696,0.001007935697698696
cat__destination_station_Station_33,-0.0009810185174838242,0.0009810185174838242
cat__origin_station_Station_6,-0.000969745580563618,0.000969745580563618
cat__destination_station_Station_2,0.0009634326539381224,0.0009634326539381224
cat__destination_station_Station_48,-0.0009575362701385031,0.0009575362701385031
cat__destination_station_Station_3,-0.0009222813084562732,0.0009222813084562732
cat__destination_station_Station_6,-0.0009032769714502416,0.0009032769714502416
cat__destination_station_Station_4,-0.0008258142771134507,0.0008258142771134507
cat__origin_station_Station_7,0.000817469615548542,0.000817469615548542
cat__origin_station_Station_27,0.0007658956189752912,0.0007658956189752912
cat__route_id_Route_17,-0.0007454386017613152,0.0007454386017613152
cat__destination_station_Station_28,-0.0007117020900359167,0.0007117020900359167
cat__origin_station_Station_28,-0.0006738843231069748,0.0006738843231069748
cat__origin_station_Station_20,-0.000668534148481108,0.000668534148481108
cat__origin_station_Station_13,-0.0006090911846414961,0.0006090911846414961
cat__origin_station_Station_21,-0.0006047654179742754,0.0006047654179742754
cat__route_id_Route_20,-0.0005837830945064511,0.0005837830945064511
cat__route_id_Route_2,-0.00057771877807571,0.00057771877807571
cat__destination_station_Station_37,0.0005633332935475795,0.0005633332935475795
cat__origin_station_Station_3,0.000560097480338815,0.000560097480338815
cat__event_type_Parade,0.0005174424489115333,0.0005174424489115333
cat__origin_station_Station_15,-0.0004950482658463829,0.0004950482658463829
cat__origin_station_Station_46,0.0004929120785617553,0.0004929120785617553
cat__destination_station_Station_42,-0.00046556094143239266,0.00046556094143239266
cat__destination_station_Station_47,-0.00045621821851536996,0.00045621821851536996
cat__route_id_Route_14,-0.00044798564204163543,0.00044798564204163543
cat__destination_station_Station_8,-0.0004321558963819585,0.0004321558963819585
cat__origin_station_Station_33,-0.0004293972794093791,0.0004293972794093791
cat__route_id_Route_6,0.0004283068216403685,0.0004283068216403685
cat__destination_station_Station_38,0.00031903793051720164,0.00031903793051720164
cat__weather_condition_Snow,-0.00022995199282374072,0.00022995199282374072
cat__origin_station_Station_42,0.0002296458063739316,0.0002296458063739316
cat__destination_station_Station_35,-0.00019325123022114474,0.00019325123022114474
cat__origin_station_Station_12,-0.0001858502651822184,0.0001858502651822184
cat__origin_station_Station_38,0.00018022401223387015,0.00018022401223387015
cat__origin_station_Station_23,-7.106096562554094e-05,7.106096562554094e-05
cat__origin_station_Station_18,-2.5022124829920792e-05,2.5022124829920792e-05
cat__origin_station_Station_39,1.7928257545976673e-05,1.7928257545976673e-05
cat__origin_station_Station_11,1.5383048125805314e-05,1.5383048125805314e-05
num__quarter,0.0,0.0
num__month,0.0,0.0
num__year,0.0,0.0
